Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
70601,OGT-Mediated KEAP1 Glycosylation Accelerates NRF2 Degradation Leading to High Phosphate-Induced Vascular Calcification in Chronic Kidney Disease,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Biology - Molecular;,"Department of Nephrology, The First Hospital of China Medical University, Shenyang, China;",Frontiers in Physiology,Frontiers,China,Tian-Hua Xu;Yinke Du;Zitong Sheng;Yue Li;Xiaobo Qiu;Binyao Tian;Li Yao,,Research Article;,2024-10-09,10.3389/fphys.2024.1505634,39444754.0,2020-10-26,10.3389/fphys.2020.01092,33192538.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Original Data and/or Images not Provided and/or not Available;Unreliable Data;,No,see also: https://pubpeer.com/publications/2C8B8B3A90783EB1A1E1A7E42D78C8
70597,Effect and Potential Mechanism of Lactobacillus plantarum Q7 on Hyperuricemia in vitro and in vivo,(BLS) Biochemistry;(BLS) Microbiology;,"College of Food Science and Engineering, Ocean University of China, Qingdao, China;",Frontiers in Nutrition,Frontiers,China,Jiayuan Cao;Yushan Bu;Haining Hao;Qiqi Liu;Ting Wang;Yisuo Liu;Huaxi Yi,,Research Article;,2024-11-01,10.3389/fnut.2024.1517030,39555196.0,2022-07-06,10.3389/fnut.2022.954545,35873427.0,Retraction,Duplication of/in Article;Investigation by Journal/Publisher;,No,
70594,MiR-365a-3p-Mediated Regulation of HELLS/GLUT1 Axis Suppresses Aerobic Glycolysis and Gastric Cancer Growth,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Biology - Molecular;(BLS) Genetics;,"Key Laboratory of Precision Oncology of Shandong Higher Education, Institute of Precision Medicine, Jining Medical University, Jining, China; Key Laboratory of Basic Pharmacology of Ministry of Education and Joint International Research Laboratory of Ethnomedicine of Ministry of Education, Zunyi Medical University, Zunyi, China; Department of Pathophysiology, Zunyi Medical University, Zunyi, China; Key Laboratory of Molecular Pharmacology, Liaocheng People’s Hospital, Liaocheng, China;",Frontiers in Oncology,Frontiers,China,Rui Yang;Gen Liu;Limin Han;Yuheng Qiu;Lulin Wang;Mei Wang,,Research Article;,2024-11-12,10.3389/fonc.2024.1519833,39600637.0,2021-03-15,10.3389/fonc.2021.616390,33791206.0,Retraction,Concerns/Issues about Image;Duplication of/in Image;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/E67E793B0623050DED05568D26C568
70534,The Gene Expression Analysis of Blood Reveals S100A11 and AQP9 as Potential Biomarkers of Infective Endocarditis,(BLS) Biochemistry;(BLS) Genetics;(HSC) Medicine - Cardiology;,"Département de Cardiologie, Hôpital de la Timone, Aix-Marseille University, Marseille, France; Unité de Recherche sur les Maladies Infectieuses Transmissibles et Emergentes (URMITE), Centre National de la Recherche Scientifique (CNRS) Unité Mixte de Recherche 6236, Aix-Marseille University, Marseille, France;",PLoS One,PLoS,France,Franck Thuny;Julien Textoris;Amira Ben Amara;Adil El Filali;Christian Capo;Didier Raoult;Jean-Louis Mege,https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/;https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-04-21,10.1371/journal.pone.0347627,42013043.0,2012-02-03,10.1371/journal.pone.0031490,22319637.0,Retraction,Author Unresponsive;Concerns/Issues about Human Subject Welfare;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70533,Imbalance of Circulating Monocyte Subsets and PD-1 Dysregulation in Q Fever Endocarditis: The Role of IL-10 in PD-1 Modulation,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Microbiology;,"Aix Marseille Université, Unité de Recherche sur les Maladies Infectieuses Tropicales et Emergentes, UMR 63, CNRS 7278, IRD 198, INSERM U1095, Marseille, France; Inserm UMR 1068, Centre de Recherche en Cancérologie de Marseille, Marseille, France;",PLoS One,PLoS,France,Mignane B Ka;Françoise Gondois-Rey;Christian Capo;Julien Textoris;Mathieu Million;Didier Raoult;Daniel Olive;Jean-Louis Mege,https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-05-04,10.1371/journal.pone.0348534,42081446.0,2014-09-11,10.1371/journal.pone.0107533,25211350.0,Retraction,Concerns/Issues about Human Subject Welfare;Concerns/Issues about Methods;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70283,Exosomes derived from exhausted CD8+ T cells impaired the anticancer function of normal CD8+ T cells,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(BLS) Microbiology;,"Liver Transplantation Center, The First Affiliated Hospital of Nanjing Medical University, Nanjing, China; Department of Hepatobiliary Surgery, The Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, China;",Journal of Medical Genetics,BMJ Publishing,China,Xiaochen Wang;Haiyuan Shen;Qifeng He;Wenfang Tian;Anliang Xia;Xiao-Jie Lu,https://retractionwatch.com/2026/04/14/bmj-group-journal-medical-genetics-retracts-special-issue-compromised-peer-review/,Research Article;,2026-04-14,10.1136/jmg-2026-56-1-2019ret,41980763.0,2018-07-11,10.1136/jmedgenet-2018-105439,29997128.0,Retraction,Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;,No,
70278,Genetic and phenotypic difference in CD8+ T cell exhaustion between chronic hepatitis B infection and hepatocellular carcinoma,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(BLS) Microbiology;,"Department of Hepatobiliary Surgery, The Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, China; Liver Transplantation Center of the First Affiliated Hospital, Nanjing Medical University, Nanjing, China;",Journal of Medical Genetics,BMJ Publishing,China,Xiaochen Wang;Qifeng He;Haiyuan Shen;Xiao-Jie Lu;Beicheng Sun,https://retractionwatch.com/2026/04/14/bmj-group-journal-medical-genetics-retracts-special-issue-compromised-peer-review/,Research Article;,2026-04-14,10.1136/jmg-2026-56-1-2019ret,41980763.0,2018-04-17,10.1136/jmedgenet-2018-105267,29666149.0,Retraction,Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;,No,
70026,Chitinase 1 regulates pulmonary fibrosis by modulating TGF-β/SMAD7 pathway via TGFBRAP1 and FOXO3,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Genetics;,"Molecular Microbiology and Immunology, Brown University, Providence, RI, USA; Departmentof InternalMedicine,Yonsei UniversityCollegeof Medicine,Seoul, South Korea; Section of Pulmonary, Critical Care, and Sleep Medicine, Department of Internal Medicine, Yale School of Medicine, New Haven, CT, USA; Brigham and Women’sHospital, Boston, MA, USA; DepartmentofMedicine,College of Medicine, Medical University of South Carolina, Charleston, SC, USA; Weill CornellMedicinePulmonary and Critical Care Medicine, New York, NY, USA; Division of Medicine and Biological Sciences, Brown University, Warren Alpert School of Medicine, Providence, RI, USA;",Life Science Alliance,Life Science Alliance,South Korea;United States,Chang-Min Lee;Chuan-Hua He;Jin Wook Park;Jae Hyun Lee;Suchitra Kamle;Bing Ma;Bedia Akosman;Roberto Cotez;Emily Chen;Yang Zhou;Erica L Herzog;Changwan Ryu;Xueyan Peng;Ivan O Rosas;Sergio Poli;Carol Feghali Bostwick;Augustine M Choi;Jack A Elias;Chun Geun Lee,,Research Article;,2024-08-29,10.26508/lsa.202402987,39209538.0,2019-05-13,10.26508/lsa.201900350,31085559.0,Retraction,Concerns/Issues about Image;Duplication of Data;Error in Text;Upgrade/Update of Prior Notice(s);,No,
69931,"Purification, Characterization, and Hydrolysate Analysis of Dextranase From Arthrobacter oxydans G6-4B",(BLS) Biochemistry;(BLS) Microbiology;(ENV) Food Science;,"Jiangsu Key Laboratory of Marine Bioresources and Environment, Jiangsu Ocean University, Lianyungang, China; Co-Innovation Center of Jiangsu Marine Bio-industry Technology, Jiangsu Ocean University, Lianyungang, China; College of Food Science and Engineering, Jiangsu Ocean University, Lianyungang, China; School of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, China;",Frontiers in Bioengineering and Biotechnology,Frontiers,China,Nannan Liu;Peiting Li;Xiujin Dong;Yusi Lan;Linxiang Xu;Zhen Wei;Shujun Wang,,Research Article;,2024-07-02,10.3389/fbioe.2024.1450316,39015139.0,2022-02-10,10.3389/fbioe.2021.813079,35223821.0,Expression of concern,Compromised Peer Review;Conflict of Interest;Investigation by Third Party;Updated to Retraction;,No,See also: https://pubpeer.com/publications/5363998A8356463BE8216821483D3E
69929,"Purification, Characterization, and Hydrolysate Analysis of Dextranase From Arthrobacter oxydans G6-4B",(BLS) Biochemistry;(BLS) Microbiology;(ENV) Food Science;,"Jiangsu Key Laboratory of Marine Bioresources and Environment, Jiangsu Ocean University, Lianyungang, China; Co-Innovation Center of Jiangsu Marine Bio-industry Technology, Jiangsu Ocean University, Lianyungang, China; College of Food Science and Engineering, Jiangsu Ocean University, Lianyungang, China; School of Marine Science and Fisheries, Jiangsu Ocean University, Lianyungang, China;",Frontiers in Bioengineering and Biotechnology,Frontiers,China,Nannan Liu;Peiting Li;Xiujin Dong;Yusi Lan;Linxiang Xu;Zhen Wei;Shujun Wang,,Research Article;,2025-09-19,10.3389/fbioe.2025.1702209,41050450.0,2022-02-10,10.3389/fbioe.2021.813079,35223821.0,Retraction,Compromised Peer Review;Conflict of Interest;Investigation by Journal/Publisher;Upgrade/Update of Prior Notice(s);,No,See also: https://pubpeer.com/publications/5363998A8356463BE8216821483D3E
69782,Ribosome-Dependent ATPase Interacts with Conserved Membrane Protein in Escherichia coli to Modulate Protein Synthesis and Oxidative Phosphorylation,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Genetics;,"Banting and Best Department of Medical Research, University of Toronto, Toronto, Ontario, Canada; Department of Molecular Genetics, University of Toronto, Toronto, Ontario, Canada; Department of Biology and Ottawa Institute of Systems Biology, Carleton University, Ottawa, Canada;",PLoS One,PLoS,Canada,Mohan Babu;Hiroyuki Aoki;Wasimul Q Chowdhury;Alla Gagarinova;Chris Graham;Sadhna Phanse;Ben Laliberte;Noor Sunba;Matthew Jessulat;Ashkan Golshani;Andrew Emili;Jack F Greenblatt;M Clelia Ganoza,,Research Article;,2025-06-16,10.1371/journal.pone.0326327,40522897.0,2011-04-27,10.1371/journal.pone.0018510,21556145.0,Retraction,Concerns/Issues about Image;Duplication of/in Image;Euphemisms for Duplication;Objections by Author(s);Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/D8FA3F4B279EEEF66E608431A4D827
69738,Molecular Structure and Dimeric Organization of the Notch Extracellular Domain as Revealed by Electron Microscopy,(BLS) Biochemistry;(BLS) Biology - Molecular;,"Department of Cell Biology, Harvard Medical School, Boston, Massachusetts, United States of America; Epigenetics and Progenitor Cells Program, Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States of America; Howard Hughes Medical Institute, Harvard Medical School, Boston, Massachusetts, United States of America;",PLoS One,PLoS,United States,Deborah F Kelly;Robert J Lake;Teije C Middelkoop;Hua-Ying Fan;Spyros Artavanis-Tsakonas;Thomas Walz,,Research Article;,2025-10-27,10.1371/journal.pone.0335095,41144351.0,2010-05-07,10.1371/journal.pone.0010532,20479883.0,Retraction,Concerns/Issues about Results and/or Conclusions;Duplication of/in Image;Error in Image;Euphemisms for Duplication;Investigation by Company/Institution;Investigation by Journal/Publisher;Objections by Author(s);Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,No,
