Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
70546,Body lice of homeless people reveal the presence of several emerging bacterial pathogens in northern Algeria,(BLS) Microbiology;(BLS) Parasitology;(HSC) Medicine - Infectious Disease;(HSC) Public Health and Safety;,"Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, IHU-Méditerranée Infection, Marseille, France; Laboratoire de Valorisation et Conservation des Ressources Biologiques (VALCORE), Faculté des Sciences, Université M'Hamed Bougara Boumerdes, Boumerdès, Algeria; Laboratoire Biodiversité et Environnement: Interactions, Génomes, Département de Biologie, Université des Sciences et Technologies Houari Boumediene, Bab Ezzouar, Algeria; Ecole Supérieure des Sciences de l'Aliment et des Industries Agro-Alimentaires, Algiers, Algeria; Aix-Marseille Univ, IRD, AP-HM, MEPHI, IHU-Méditerranée Infection, Marseille, France;",PLoS Neglected Tropical Diseases,PLoS,Algeria;France,Meriem Louni;Nassima Mana;Idir Bitam;Mustapha Dahmani;Philippe Parola;Florence Fenollar;Didier Raoult;Oleg Mediannikov,https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-05-05,10.1371/journal.pntd.0014290,42085419.0,2018-04-17,10.1371/journal.pntd.0006397,29664950.0,Retraction,Concerns/Issues about Human Subject Welfare;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Objections by Author(s);Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,No,
70545,Serotonergic pathology and disease burden in the premotor and motor phase of A53T α-synuclein parkinsonism: a cross-sectional study,(BLS) Genetics;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Neurology;,"Neurodegeneration Imaging Group, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK; Centre for Neuroimaging Sciences, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK; University of Athens Medical School, 1st Department of Neurology, University of Athens Hospital Attikon, Greece; Center for Neurodegenerative Diseases (CEMAND), Department of Medicine, Neuroscience Section, University of Salerno, Italy; Nuclear Medicine Department, King's College Hospital NHS Foundation Trust, London, UK; Department of Neurology, Philipps University, Marburg, Germany; Parkinson's Disease and Movement Disorders Department, HYGEIA Hospital, Athens, Greece; Division of Brain Sciences, Department of Medicine, Imperial College London, London, UK; Invicro LLC, Centre for Imaging Sciences, Hammersmith Hospital, London, UK; Center of Clinical Research, Experimental Surgery and Translational Research, Biomedical Research Foundation of the Academy of Athens, Athens, Greece;",The Lancet Neurology,Elsevier,Germany;Greece;Italy;United Kingdom,Heather Wilson;George Dervenoulas;Gennaro Pagano;Christos Koros;Tayyabah Yousaf;Marina Picillo;Sotirios Polychronis;Athina Simitsi;Beniamino Giordano;Zachary Chappell;Benjamin Corcoran;Maria Stamelou;Roger N Gunn;Maria Teresa Pellecchia;Eugenii A Rabiner;Paolo Barone;Leonidas Stefanis;Marios Politis,https://retractionwatch.com/2022/02/09/kcl-investigation-finds-misconduct-in-lancet-neurology-paper%ef%bf%bc/,Clinical Study;,2026-02-18,10.1016/S1474-4422(26)00046-3,41722597.0,2019-06-19,10.1016/S1474-4422(19)30140-1,31229470.0,Correction,Error in Text;Upgrade/Update of Prior Notice(s);,No,EOC stated as resolved 2/18/2026; see https://www.sciencedirect.com/science/article/pii/S1474442226000529
70534,The Gene Expression Analysis of Blood Reveals S100A11 and AQP9 as Potential Biomarkers of Infective Endocarditis,(BLS) Biochemistry;(BLS) Genetics;(HSC) Medicine - Cardiology;,"Département de Cardiologie, Hôpital de la Timone, Aix-Marseille University, Marseille, France; Unité de Recherche sur les Maladies Infectieuses Transmissibles et Emergentes (URMITE), Centre National de la Recherche Scientifique (CNRS) Unité Mixte de Recherche 6236, Aix-Marseille University, Marseille, France;",PLoS One,PLoS,France,Franck Thuny;Julien Textoris;Amira Ben Amara;Adil El Filali;Christian Capo;Didier Raoult;Jean-Louis Mege,https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/;https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-04-21,10.1371/journal.pone.0347627,42013043.0,2012-02-03,10.1371/journal.pone.0031490,22319637.0,Retraction,Author Unresponsive;Concerns/Issues about Human Subject Welfare;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70411,Diagnosis and classification of Alzheimer's disease by using a convolution neural network algorithm,(B/T) Data Science;(HSC) Medicine - Neurology;(HSC) Radiology/Imaging;,"Deanship of E-Learning and Distance Education, King Faisal University, P.O. Box 400, Al-Ahsa, Saudi Arabia;",Soft Computing,Springer - Nature Publishing Group,Saudi Arabia,Mosleh Hmoud Al-Adhaileh,,Research Article;,2026-01-19,10.1007/s00500-026-11180-7,0.0,2022-01-31,10.1007/s00500-022-06762-0,0.0,Retraction,Compromised Peer Review;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
70273,A transcriptional signature associated with non-Hodgkin lymphoma in the blood of patients with Q fever,(HSC) Medicine - Oncology;(HSC) Medicine - Pathology;,"Aix-Marseille Univ, IRD, APHM, MEPHI, IHU-Méditerranée Infection, Marseille, France; Infectious Diseases, ASST Papa Giovanni XXIII, Bergamo, Italy; Établissement Français du Sang Alpes Méditerranée, Marseille, France; Aix-Marseille University, CNRS, ADES, Biologie des Groupes Sanguins, Marseille, France; Service d'hématologie de la Conception, Assistance publique des hôpitaux de Marseille, Marseille, France; Gustave Roussy Cancer Campus, Villejuif, France; INSERM, U1138, Paris, France; Equipe 11 labellisée par la Ligue Nationale contre le Cancer, Centre de Recherche des Cordeliers, Paris, France; Université Paris Descartes, Sorbonne Paris Cité, Paris, France; Metabolomics and Cell Biology Platforms, Gustave Roussy Cancer Campus, Villejuif, France; Université Pierre et Marie Curie, Paris, France; Pôle de Biologie, Hôpital Européen Georges Pompidou, AP-HP, Paris, France; Karolinska Institute, Department of Women's and Children's Health, Karolinska University Hospital, Stockholm, Sweden;",PLoS One,PLoS,France;Italy;Sweden,Cléa Melenotte;Soraya Mezouar;Amira Ben Amara;Simon Benatti;Jacques Chiaroni;Christian Devaux;Régis Costello;Guido Kroemer;Jean-Louis Mege;Didier Raoult,https://retractionwatch.com/?s=Didier+Raoult;https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/,Research Article;,2026-04-13,10.1371/journal.pone.0347091,41973672.0,2019-06-10,10.1371/journal.pone.0217542,31181104.0,Retraction,Concerns/Issues about Human Subject Welfare;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70264,Territory-Wide Chinese Cohort of Long QT Syndrome: Random Survival Forest and Cox Analyses,(BLS) Genetics;(HSC) Medicine - Cardiology;(HSC) Medicine - Pathology;,"Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular Disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, Tianjin, China; Faculty of Health and Medical Sciences, University of Surrey, Guildford, United Kingdom; Laboratory of Cardiovascular Physiology, Li Ka Shing Institute of Health Sciences, Hong Kong, China; School of Data Science, City University of Hong Kong, Hong Kong, China; Centre for Safe Medication Practice and Research, Department of Pharmacology and Pharmacy, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong, China; School of Pharmacy, University College London, London, United Kingdom; Department of Pathology, Hong Kong Children's Hospital, Hong Kong, China; Department of Medicine and Geriatrics, Princess Margaret Hospital, Hong Kong, China; Department of Biomedical Sciences, City University of Hong Kong, Hong Kong, China; State Key Laboratory of Agrobiotechnology, School of Life Sciences, Chinese University of Hong Kong, Hong Kong, China;",Frontiers in Cardiovascular Medicine,Frontiers,China;Hong Kong;United Kingdom,Gary Tse;Sharen Lee;Jiandong Zhou;Tong Liu;Ian Chi Kei Wong;Chloe Mak;Ngai Shing Mok;Kamalan Jeevaratnam;Qingpeng Zhang;Shuk Han Cheng;Wing Tak Wong,,Research Article;,2024-11-27,10.3389/fcvm.2024.1532096,39691496.0,2021-02-04,10.3389/fcvm.2021.608592,33614747.0,Retraction,Concerns/Issues about Human Subject Welfare;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Objections by Author(s);,No,
70263,Identification of Novel SCN5A Single Nucleotide Variants in Brugada Syndrome: A Territory-Wide Study From Hong Kong,(BLS) Genetics;(HSC) Medicine - Cardiology;(HSC) Medicine - Pathology;,"Xiamen Cardiovascular Hospital, Xiamen University, Xiamen, China; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular Disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, Tianjin, China; Laboratory of Cardiovascular Physiology, Li Ka Shing Institute of Health Sciences, Faculty of Medicine, The Chinese University of Hong Kong, Shatin, China; Department of Medicine and Geriatrics, Princess Margaret Hospital, Kowloon, China; Centre for Safe Medication Practice and Research, Department of Pharmacology and Pharmacy, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Pokfulam, China; School of Pharmacy, University College London, London, United Kingdom; Department of Pathology, Hong Kong Children’s Hospital, Kowloon, China; State Key Laboratory of Agrobiotechnology (CUHK), School of Life Sciences, The Chinese University of Hong Kong, Shatin, China;",Frontiers in Physiology,Frontiers,China;Hong Kong;United Kingdom,Gary Tse;Sharen Lee;Tong Liu;Ho Chuen Yuen;Ian Chi Kei Wong;Chloe Mak;Ngai Shing Mok;Wing Tak Wong,,Research Article;,2024-11-27,10.3389/fphys.2024.1532081,39691092.0,2020-09-17,10.3389/fphys.2020.574590,33071830.0,Retraction,Concerns/Issues about Human Subject Welfare;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Objections by Author(s);,No,
70224,20-HETE Inhibition by HET0016 Decreases the Blood–Brain Barrier Permeability and Brain Edema After Traumatic Brain Injury,(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Neurology;(HSC) Medicine - Pathology;,"Department of Radiology, Nanjing First Hospital, Nanjing Medical University, Nanjing, China; Department of Radiology, Shanghai Jiao Tong University Affiliated Sixth People’s Hospital, Shanghai, China;",Frontiers in Aging Neuroscience,Frontiers,China,Liyan Lu;Mingliang Wang;Xiaoer Wei;Wenbin Li,,Research Article;,2024-07-28,10.3389/fnagi.2024.1469759,39135933.0,2018-07-15,10.3389/fnagi.2018.00207,30061822.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Duplication of Data;Duplication of/in Image;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Unreliable Data;Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,No,See also: https://pubpeer.com/publications/4BFF79A3DDAFB40BD59A88E6A95F7D
70222,l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,(BLS) Biology - Cellular;(BLS) Genetics;(BLS) Parasitology;(HSC) Medicine - Pathology;,"Department of Molecular Biology, Rajendra Memorial Research Institute of Medical Sciences (ICMR), Patna, India; Department of Microbiology, All India Institute of Medical Sciences (AIIMS), Patna, India; Cancer Biology and Inflammatory Disorder Division, CSIR-Indian Institute of Chemical Biology, Kolkata, India; Department of Biotechnology, National Institute of Pharmaceutical Education and Research, Hajipur, India;",Frontiers in Immunology,Frontiers,India,Abhishek Mandal;Sushmita Das;Ajay Kumar;Saptarshi Roy;Sudha Verma;Ayan Kumar Ghosh;Ruby Singh;Kumar Abhishek;Savita Saini;Abul Hasan Sardar;Bidyut Purkait;Ashish Kumar;Chitra Mandal;Pradeep Das,,Research Article;,2024-08-13,10.3389/fimmu.2024.1474938,39206191.0,2017-07-25,10.3389/fimmu.2017.00839,28798743.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Duplication of Data;Duplication of/in Image;Euphemisms for Duplication;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Data;Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,No,See also: https://pubpeer.com/publications/73C2304BCA7B13E3E7C3CA3D67D33A
70217,ErHuang Formula Improves Renal Fibrosis in Diabetic Nephropathy Rats by Inhibiting CXCL6/JAK/STAT3 Signaling Pathway,(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Alternative;(HSC) Medicine - Diabetes;(HSC) Medicine - Pharmacology;(HSC) Medicine - Urology/Nephrology;,"Institute of Interdisciplinary Integrative Medicine Research, Shanghai University of Traditional Chinese Medicine, Shanghai, China; Shuguang Hospital, Shanghai University of Traditional Chinese Medicine, Shanghai, China; Department of Pharmacognosy, School of Pharmacy, Second Military Medical University, Shanghai, China; School of Pharmacy, Chengdu University of Traditional Chinese Medicine, Chengdu, China; Department of Drug Preparation, Hospital of TCM and Hui Nationality Medicine, Ningxia Medical University, Wuzhong, China; Department of Pharmacy, Yangpu Hospital, Tongji University School of Medicine, Shanghai, China; Central Laboratory, Seventh People's Hospital, Shanghai University of Traditional Chinese Medicine, Shanghai, China; School of Pharmacy and Biomolecular Sciences, Faculty of Science, Liverpool John Moores University, Liverpool, United Kingdom;",Frontiers in Pharmacology,Frontiers,China;United Kingdom,Yu-Li Shen;Yi-ping Jiang;Xiao-Qin Li;Su-Juan Wang;Ming-Hua Ma;Chun-Yan Zhang;Jian-Yong Zhu;Khalid Rahman;Li-Jun Zhang;Xin Luan;Hong Zhang,,Research Article;,2024-12-01,10.3389/fphar.2024.1530375,39720586.0,2020-01-23,10.3389/fphar.2019.01596,32038260.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Duplication of Data;Duplication of/in Image;Euphemisms for Duplication;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Data;Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,No,See also: https://pubpeer.com/publications/33D7B212B444024C81396DE190F6A1
