question_type,model,metric,status,count,total,percentage
1,olmo_3_7B_Instruct,retracted_claim_usage,yes,21,23,91.3
1,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,1,23,4.35
1,olmo_3_7B_Instruct,retracted_claim_usage,no,1,23,4.35
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,0,23,0.0
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,23,23,100.0
1,llama_3_8B_Instruct,retracted_claim_usage,yes,19,23,82.61
1,llama_3_8B_Instruct,retracted_claim_usage,incomplete,2,23,8.7
1,llama_3_8B_Instruct,retracted_claim_usage,no,2,23,8.7
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,0,23,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,23,23,100.0
1,gpt-5.5,retracted_claim_usage,yes,22,23,95.65
1,gpt-5.5,retracted_claim_usage,incomplete,0,23,0.0
1,gpt-5.5,retracted_claim_usage,no,1,23,4.35
1,gpt-5.5,retraction_explicitly_mentioned,yes,4,23,17.39
1,gpt-5.5,retraction_explicitly_mentioned,no,19,23,82.61
2,olmo_3_7B_Instruct,retracted_claim_usage,yes,22,23,95.65
2,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,1,23,4.35
2,olmo_3_7B_Instruct,retracted_claim_usage,no,0,23,0.0
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,5,23,21.74
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,18,23,78.26
2,llama_3_8B_Instruct,retracted_claim_usage,yes,20,23,86.96
2,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,23,0.0
2,llama_3_8B_Instruct,retracted_claim_usage,no,3,23,13.04
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,1,23,4.35
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,22,23,95.65
2,gpt-5.5,retracted_claim_usage,yes,12,23,52.17
2,gpt-5.5,retracted_claim_usage,incomplete,3,23,13.04
2,gpt-5.5,retracted_claim_usage,no,8,23,34.78
2,gpt-5.5,retraction_explicitly_mentioned,yes,23,23,100.0
2,gpt-5.5,retraction_explicitly_mentioned,no,0,23,0.0
3,olmo_3_7B_Instruct,retracted_claim_usage,yes,20,23,86.96
3,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,2,23,8.7
3,olmo_3_7B_Instruct,retracted_claim_usage,no,1,23,4.35
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,0,23,0.0
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,23,23,100.0
3,llama_3_8B_Instruct,retracted_claim_usage,yes,14,23,60.87
3,llama_3_8B_Instruct,retracted_claim_usage,incomplete,5,23,21.74
3,llama_3_8B_Instruct,retracted_claim_usage,no,4,23,17.39
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,1,23,4.35
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,22,23,95.65
3,gpt-5.5,retracted_claim_usage,yes,21,23,91.3
3,gpt-5.5,retracted_claim_usage,incomplete,0,23,0.0
3,gpt-5.5,retracted_claim_usage,no,2,23,8.7
3,gpt-5.5,retraction_explicitly_mentioned,yes,23,23,100.0
3,gpt-5.5,retraction_explicitly_mentioned,no,0,23,0.0
