question_type,model,metric,status,count,total,percentage
1,olmo_3_7B_Instruct,retracted_claim_usage,yes,6,7,85.71
1,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,1,7,14.29
1,olmo_3_7B_Instruct,retracted_claim_usage,no,0,7,0.0
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,0,7,0.0
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,7,7,100.0
1,llama_3_8B_Instruct,retracted_claim_usage,yes,6,7,85.71
1,llama_3_8B_Instruct,retracted_claim_usage,incomplete,1,7,14.29
1,llama_3_8B_Instruct,retracted_claim_usage,no,0,7,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,0,7,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,7,7,100.0
1,gpt-5.5,retracted_claim_usage,yes,6,7,85.71
1,gpt-5.5,retracted_claim_usage,incomplete,1,7,14.29
1,gpt-5.5,retracted_claim_usage,no,0,7,0.0
1,gpt-5.5,retraction_explicitly_mentioned,yes,3,7,42.86
1,gpt-5.5,retraction_explicitly_mentioned,no,4,7,57.14
2,olmo_3_7B_Instruct,retracted_claim_usage,yes,6,7,85.71
2,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,1,7,14.29
2,olmo_3_7B_Instruct,retracted_claim_usage,no,0,7,0.0
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,5,7,71.43
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,2,7,28.57
2,llama_3_8B_Instruct,retracted_claim_usage,yes,7,7,100.0
2,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,7,0.0
2,llama_3_8B_Instruct,retracted_claim_usage,no,0,7,0.0
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,5,7,71.43
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,2,7,28.57
2,gpt-5.5,retracted_claim_usage,yes,6,7,85.71
2,gpt-5.5,retracted_claim_usage,incomplete,0,7,0.0
2,gpt-5.5,retracted_claim_usage,no,1,7,14.29
2,gpt-5.5,retraction_explicitly_mentioned,yes,7,7,100.0
2,gpt-5.5,retraction_explicitly_mentioned,no,0,7,0.0
3,olmo_3_7B_Instruct,retracted_claim_usage,yes,6,7,85.71
3,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,1,7,14.29
3,olmo_3_7B_Instruct,retracted_claim_usage,no,0,7,0.0
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,1,7,14.29
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,6,7,85.71
3,llama_3_8B_Instruct,retracted_claim_usage,yes,6,7,85.71
3,llama_3_8B_Instruct,retracted_claim_usage,incomplete,1,7,14.29
3,llama_3_8B_Instruct,retracted_claim_usage,no,0,7,0.0
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,1,7,14.29
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,6,7,85.71
3,gpt-5.5,retracted_claim_usage,yes,7,7,100.0
3,gpt-5.5,retracted_claim_usage,incomplete,0,7,0.0
3,gpt-5.5,retracted_claim_usage,no,0,7,0.0
3,gpt-5.5,retraction_explicitly_mentioned,yes,7,7,100.0
3,gpt-5.5,retraction_explicitly_mentioned,no,0,7,0.0
