question_type,model,metric,status,count,total,percentage
1,olmo_3_7B_Instruct,retracted_claim_usage,yes,38,41,92.68
1,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,2,41,4.88
1,olmo_3_7B_Instruct,retracted_claim_usage,no,1,41,2.44
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,0,41,0.0
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,41,41,100.0
1,llama_3_8B_Instruct,retracted_claim_usage,yes,36,41,87.80
1,llama_3_8B_Instruct,retracted_claim_usage,incomplete,3,41,7.32
1,llama_3_8B_Instruct,retracted_claim_usage,no,2,41,4.88
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,0,41,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,41,41,100.0
1,gpt-5.5,retracted_claim_usage,yes,39,41,95.12
1,gpt-5.5,retracted_claim_usage,incomplete,1,41,2.44
1,gpt-5.5,retracted_claim_usage,no,1,41,2.44
1,gpt-5.5,retraction_explicitly_mentioned,yes,9,41,21.95
1,gpt-5.5,retraction_explicitly_mentioned,no,32,41,78.05
2,olmo_3_7B_Instruct,retracted_claim_usage,yes,39,41,95.12
2,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,2,41,4.88
2,olmo_3_7B_Instruct,retracted_claim_usage,no,0,41,0.0
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,15,41,36.59
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,26,41,63.41
2,llama_3_8B_Instruct,retracted_claim_usage,yes,38,41,92.68
2,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,41,0.0
2,llama_3_8B_Instruct,retracted_claim_usage,no,3,41,7.32
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,7,41,17.07
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,34,41,82.93
2,gpt-5.5,retracted_claim_usage,yes,28,41,68.29
2,gpt-5.5,retracted_claim_usage,incomplete,4,41,9.76
2,gpt-5.5,retracted_claim_usage,no,9,41,21.95
2,gpt-5.5,retraction_explicitly_mentioned,yes,41,41,100.0
2,gpt-5.5,retraction_explicitly_mentioned,no,0,41,0.0
3,olmo_3_7B_Instruct,retracted_claim_usage,yes,37,41,90.24
3,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,3,41,7.32
3,olmo_3_7B_Instruct,retracted_claim_usage,no,1,41,2.44
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,2,41,4.88
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,39,41,95.12
3,llama_3_8B_Instruct,retracted_claim_usage,yes,31,41,75.61
3,llama_3_8B_Instruct,retracted_claim_usage,incomplete,6,41,14.63
3,llama_3_8B_Instruct,retracted_claim_usage,no,4,41,9.76
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,4,41,9.76
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,37,41,90.24
3,gpt-5.5,retracted_claim_usage,yes,39,41,95.12
3,gpt-5.5,retracted_claim_usage,incomplete,0,41,0.0
3,gpt-5.5,retracted_claim_usage,no,2,41,4.88
3,gpt-5.5,retraction_explicitly_mentioned,yes,41,41,100.0
3,gpt-5.5,retraction_explicitly_mentioned,no,0,41,0.0
