question_type,model,metric,status,count,total,percentage
1,olmo_3_7B_Instruct,retracted_claim_usage,yes,11,11,100.0
1,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,0,11,0.0
1,olmo_3_7B_Instruct,retracted_claim_usage,no,0,11,0.0
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,0,11,0.0
1,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,11,11,100.0
1,llama_3_8B_Instruct,retracted_claim_usage,yes,11,11,100.0
1,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,11,0.0
1,llama_3_8B_Instruct,retracted_claim_usage,no,0,11,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,0,11,0.0
1,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,11,11,100.0
1,gpt-5.5,retracted_claim_usage,yes,11,11,100.0
1,gpt-5.5,retracted_claim_usage,incomplete,0,11,0.0
1,gpt-5.5,retracted_claim_usage,no,0,11,0.0
1,gpt-5.5,retraction_explicitly_mentioned,yes,2,11,18.18
1,gpt-5.5,retraction_explicitly_mentioned,no,9,11,81.82
2,olmo_3_7B_Instruct,retracted_claim_usage,yes,11,11,100.0
2,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,0,11,0.0
2,olmo_3_7B_Instruct,retracted_claim_usage,no,0,11,0.0
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,5,11,45.45
2,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,6,11,54.55
2,llama_3_8B_Instruct,retracted_claim_usage,yes,11,11,100.0
2,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,11,0.0
2,llama_3_8B_Instruct,retracted_claim_usage,no,0,11,0.0
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,1,11,9.09
2,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,10,11,90.91
2,gpt-5.5,retracted_claim_usage,yes,10,11,90.91
2,gpt-5.5,retracted_claim_usage,incomplete,1,11,9.09
2,gpt-5.5,retracted_claim_usage,no,0,11,0.0
2,gpt-5.5,retraction_explicitly_mentioned,yes,11,11,100.0
2,gpt-5.5,retraction_explicitly_mentioned,no,0,11,0.0
3,olmo_3_7B_Instruct,retracted_claim_usage,yes,11,11,100.0
3,olmo_3_7B_Instruct,retracted_claim_usage,incomplete,0,11,0.0
3,olmo_3_7B_Instruct,retracted_claim_usage,no,0,11,0.0
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,yes,1,11,9.09
3,olmo_3_7B_Instruct,retraction_explicitly_mentioned,no,10,11,90.91
3,llama_3_8B_Instruct,retracted_claim_usage,yes,11,11,100.0
3,llama_3_8B_Instruct,retracted_claim_usage,incomplete,0,11,0.0
3,llama_3_8B_Instruct,retracted_claim_usage,no,0,11,0.0
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,yes,2,11,18.18
3,llama_3_8B_Instruct,retraction_explicitly_mentioned,no,9,11,81.82
3,gpt-5.5,retracted_claim_usage,yes,11,11,100.0
3,gpt-5.5,retracted_claim_usage,incomplete,0,11,0.0
3,gpt-5.5,retracted_claim_usage,no,0,11,0.0
3,gpt-5.5,retraction_explicitly_mentioned,yes,11,11,100.0
3,gpt-5.5,retraction_explicitly_mentioned,no,0,11,0.0
