Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
70601,OGT-Mediated KEAP1 Glycosylation Accelerates NRF2 Degradation Leading to High Phosphate-Induced Vascular Calcification in Chronic Kidney Disease,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Biology - Molecular;,"Department of Nephrology, The First Hospital of China Medical University, Shenyang, China;",Frontiers in Physiology,Frontiers,China,Tian-Hua Xu;Yinke Du;Zitong Sheng;Yue Li;Xiaobo Qiu;Binyao Tian;Li Yao,,Research Article;,2024-10-09,10.3389/fphys.2024.1505634,39444754.0,2020-10-26,10.3389/fphys.2020.01092,33192538.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Original Data and/or Images not Provided and/or not Available;Unreliable Data;,No,see also: https://pubpeer.com/publications/2C8B8B3A90783EB1A1E1A7E42D78C8
70597,Effect and Potential Mechanism of Lactobacillus plantarum Q7 on Hyperuricemia in vitro and in vivo,(BLS) Biochemistry;(BLS) Microbiology;,"College of Food Science and Engineering, Ocean University of China, Qingdao, China;",Frontiers in Nutrition,Frontiers,China,Jiayuan Cao;Yushan Bu;Haining Hao;Qiqi Liu;Ting Wang;Yisuo Liu;Huaxi Yi,,Research Article;,2024-11-01,10.3389/fnut.2024.1517030,39555196.0,2022-07-06,10.3389/fnut.2022.954545,35873427.0,Retraction,Duplication of/in Article;Investigation by Journal/Publisher;,No,
70596,Evaluation of sleep quality and duration using wearable sensors in shift laborers of construction industry: A public health perspective,(B/T) Technology;(HSC) Occupational Health and Safety;(HSC) Public Health and Safety;,"Department of Civil Engineering, Faculty of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India; Faculty of Management Science, Department of Business Administration, ILMA University, Karachi, Pakistan;",Frontiers in Public Health,Frontiers,India;Pakistan,S Sathvik;L Krishnaraj;Muhammad Irfan,,Research Article;,2024-11-05,10.3389/fpubh.2024.1521294,39564357.0,2022-09-20,10.3389/fpubh.2022.952901,36203668.0,Retraction,Concerns/Issues about Human Subject Welfare;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;,No,
70595,Dietary Patterns in Adults Following the Christian Orthodox Fasting Regime in Greece,(HSC) Nutrition;(HUM) Religion;,"Department of Preventive Medicine and Nutrition Unit, School of Medicine, University of Crete, Herakleion, Greece; Department of Nutritional Sciences and Dietetics, International Hellenic University, Thessaloniki, Greece;",Frontiers in Nutrition,Frontiers,Greece,Anna Kokkinopoulou;Ioannis Pagkalos;Maria Hassapidou;Anthony Kafatos,,Research Article;,2024-11-05,10.3389/fnut.2024.1520555,39564211.0,2022-03-07,10.3389/fnut.2022.803913,35321286.0,Retraction,Concerns/Issues about Data;Investigation by Journal/Publisher;Lack of Approval from Company/Institution;,No,
70594,MiR-365a-3p-Mediated Regulation of HELLS/GLUT1 Axis Suppresses Aerobic Glycolysis and Gastric Cancer Growth,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Biology - Molecular;(BLS) Genetics;,"Key Laboratory of Precision Oncology of Shandong Higher Education, Institute of Precision Medicine, Jining Medical University, Jining, China; Key Laboratory of Basic Pharmacology of Ministry of Education and Joint International Research Laboratory of Ethnomedicine of Ministry of Education, Zunyi Medical University, Zunyi, China; Department of Pathophysiology, Zunyi Medical University, Zunyi, China; Key Laboratory of Molecular Pharmacology, Liaocheng People’s Hospital, Liaocheng, China;",Frontiers in Oncology,Frontiers,China,Rui Yang;Gen Liu;Limin Han;Yuheng Qiu;Lulin Wang;Mei Wang,,Research Article;,2024-11-12,10.3389/fonc.2024.1519833,39600637.0,2021-03-15,10.3389/fonc.2021.616390,33791206.0,Retraction,Concerns/Issues about Image;Duplication of/in Image;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/E67E793B0623050DED05568D26C568
70593,CircSETD3 (Hsa_circ_0000567) Suppresses Hepatoblastoma Pathogenesis via Targeting the miR-423-3p/Bcl-2-Interacting Mediator of Cell Death Axis,(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Biology - Molecular;(BLS) Genetics;,"Department of Neonatal Surgery, Ulumuqi Children’s Hospital, Ulumuqi, China;",Frontiers in Genetics,Frontiers,China,Xin Li;Haojie Wang;Zhijie Liu;Alimujiang Abudureyimu,,Research Article;,2024-11-13,10.3389/fgene.2024.1521304,39606017.0,2021-09-29,10.3389/fgene.2021.724197,34659347.0,Retraction,Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/B1CE8516E0A5F6F6230272CF554CA6
70584,Risk-averse stochastic operation of a power system integrated with hydrogen storage system and wind generation in the presence of demand response program,(PHY) Energy;(PHY) Engineering - Electrical;(PHY) Statistics;,"Key Laboratory of Modern Power System Simulation and Control & Renewable Energy Technology, Ministry of Education (Northeast Electric Power University), Jilin, 132012, China; Electric Power Research Institute of China, Haidian District, Beijing, 100085, China; Social Research Institute, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, University of Bonab, Bonab, Iran;",International Journal of Hydrogen Energy,Elsevier,China;Iran;Thailand,Dongmin Yu;Jiawei Wang;Dezhi Li;Kittisak Jermsittiparsert;Sayyad Nojavan,,Research Article;,2024-10-09,10.1016/j.ijhydene.2019.09.222,0.0,2019-11-15,10.1016/j.ijhydene.2019.09.222,0.0,Retraction,Concerns/Issues about Authorship/Affiliation;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;Objections by Author(s);,No,"date of retraction unknown, htnml page overwrite, date taken fro modification date on pdf;"
70581,Analysis of entropy generation in AA7072-methanol and AA7072+AA7075-methanol flow near a parabolic surface,(PHY) Chemistry;(PHY) Mathematics;(PHY) Physics;,"Mirpur University of Science and Technology (MUST), Mirpur 10250, AJK, Pakistan; Department of Mathematics, Quaid-i-Azam University Islamabad, 44000, Pakistan;",Applied Mathematics and Computation,Elsevier,Pakistan,T Salahuddin;Ikram Imtiaz;Mair Khan,,Research Article;,2026-04-19,10.1016/j.amc.2026.130085,0.0,2021-09-06,10.1016/j.amc.2021.126616,0.0,Retraction,Concerns/Issues about Methods;Error in Analyses;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
70569,Biocompatible dextran-coated gadolinium-doped cerium oxide nanoparticles as MRI contrast agents with high T1 relaxivity and selective cytotoxicity to cancer cells,(HSC) Radiology/Imaging;(PHY) Engineering - Chemical;(PHY) Materials Science;(PHY) Nanotechnology;,"Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences, Leninsky av., 31, Moscow 119991, Russia; Institute of Theoretical and Experimental Biophysics of the Russian Academy of Sciences, Institutskaya, 3, Pushchino 142290, Russia; Department of Medical Nanobiotechnology, Pirogov Russian National Research Medical University, 117997 Moscow, Russia; Biomedical Nanomaterials Laboratory, National University of Science and Technology “MISiS”, Leninskiy prospect, 4, Moscow, Russia;",Journal of Materials Chemistry B,Royal Society of Chemistry (RSC),Russia,Anton L Popov;M A Abakumov;I V Savintseva;A M Ermakov;N R Popova;Olga S Ivanova;Danil D Kolmanovich;Alexander E Baranchikov;Vladimir K Ivanov,https://retractionwatch.com/2026/05/06/russian-news-outlets-hailed-a-cancer-breakthrough-but-the-retraction-went-unnoticed/,Research Article;,2025-06-05,10.1039/d5tb90094h,40468907.0,2021-08-03,10.1039/d1tb01147b,34369536.0,Retraction,Concerns/Issues about Data;Duplication of/in Image;Euphemisms for Duplication;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/21E7BEF0A6E9197B93EA4AA13FA9A6; Vladimir K Ivanov aka V K Ivanov; Alexander E Baranchikov aka A E Baranchikov;Anton L Popov aka A L Popov;Danil D aka D D Kolmanovich; Olga S Ivanova aka O S Ivanova;
70568,Rickettsia Species in African Anopheles Mosquitoes,(BLS) Microbiology;(BLS) Parasitology;,"Aix Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, Inserm 1095, Marseille, France;",PLoS One,PLoS,France,Cristina Socolovschi;Frédéric Pages;Mamadou O Ndiath;Pavel Ratmanov;Didier Raoult,https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/,Research Article;,2026-05-06,10.1371/journal.pone.0348643,42090394.0,2012-10-30,10.1371/journal.pone.0048254,23118963.0,Retraction,Author Unresponsive;Concerns/Issues about Human Subject Welfare;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70549,Meso-microporous activated carbon derived from Raffia palm shells: optimization of synthesis conditions using response surface methodology,(BLS) Biochemistry;(BLS) Plant Biology/Botany;(ENV) Environmental Sciences;,"Department of Agricultural and Environmental Engineering, College of Engineering, Federal University of Agriculture, Makurdi, Nigeria; Department of Agricultural and Environmental Engineering, Faculty of Technology, University of Ibadan, Ibadan, Nigeria; Department of Biological and Agricultural Engineering, Faculty of Engineering, Universiti Putra Malaysia, UPM, Serdang, Selangor, 43400, Malaysia; Department of Agricultural and Biological Engineering, Kwara State University, Malete, 23431, Ilorin, Nigeria",Heliyon,Elsevier - Cell Press,Malaysia;Nigeria,Raphael Terungwa Iwar;Kola’ Ogedengbe;Kamil Kayode Katibi;Linus Esekwe Oshido,,Research Article;,2026-03-03,10.1016/j.heliyon.2026.e44669,0.0,2021-06-11,10.1016/j.heliyon.2021.e07301,34189325.0,Retraction,Concerns/Issues about Image;Duplication of/in Image;Euphemisms for Duplication;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
70546,Body lice of homeless people reveal the presence of several emerging bacterial pathogens in northern Algeria,(BLS) Microbiology;(BLS) Parasitology;(HSC) Medicine - Infectious Disease;(HSC) Public Health and Safety;,"Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, IHU-Méditerranée Infection, Marseille, France; Laboratoire de Valorisation et Conservation des Ressources Biologiques (VALCORE), Faculté des Sciences, Université M'Hamed Bougara Boumerdes, Boumerdès, Algeria; Laboratoire Biodiversité et Environnement: Interactions, Génomes, Département de Biologie, Université des Sciences et Technologies Houari Boumediene, Bab Ezzouar, Algeria; Ecole Supérieure des Sciences de l'Aliment et des Industries Agro-Alimentaires, Algiers, Algeria; Aix-Marseille Univ, IRD, AP-HM, MEPHI, IHU-Méditerranée Infection, Marseille, France;",PLoS Neglected Tropical Diseases,PLoS,Algeria;France,Meriem Louni;Nassima Mana;Idir Bitam;Mustapha Dahmani;Philippe Parola;Florence Fenollar;Didier Raoult;Oleg Mediannikov,https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-05-05,10.1371/journal.pntd.0014290,42085419.0,2018-04-17,10.1371/journal.pntd.0006397,29664950.0,Retraction,Concerns/Issues about Human Subject Welfare;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Objections by Author(s);Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,No,
70545,Serotonergic pathology and disease burden in the premotor and motor phase of A53T α-synuclein parkinsonism: a cross-sectional study,(BLS) Genetics;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Neurology;,"Neurodegeneration Imaging Group, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK; Centre for Neuroimaging Sciences, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK; University of Athens Medical School, 1st Department of Neurology, University of Athens Hospital Attikon, Greece; Center for Neurodegenerative Diseases (CEMAND), Department of Medicine, Neuroscience Section, University of Salerno, Italy; Nuclear Medicine Department, King's College Hospital NHS Foundation Trust, London, UK; Department of Neurology, Philipps University, Marburg, Germany; Parkinson's Disease and Movement Disorders Department, HYGEIA Hospital, Athens, Greece; Division of Brain Sciences, Department of Medicine, Imperial College London, London, UK; Invicro LLC, Centre for Imaging Sciences, Hammersmith Hospital, London, UK; Center of Clinical Research, Experimental Surgery and Translational Research, Biomedical Research Foundation of the Academy of Athens, Athens, Greece;",The Lancet Neurology,Elsevier,Germany;Greece;Italy;United Kingdom,Heather Wilson;George Dervenoulas;Gennaro Pagano;Christos Koros;Tayyabah Yousaf;Marina Picillo;Sotirios Polychronis;Athina Simitsi;Beniamino Giordano;Zachary Chappell;Benjamin Corcoran;Maria Stamelou;Roger N Gunn;Maria Teresa Pellecchia;Eugenii A Rabiner;Paolo Barone;Leonidas Stefanis;Marios Politis,https://retractionwatch.com/2022/02/09/kcl-investigation-finds-misconduct-in-lancet-neurology-paper%ef%bf%bc/,Clinical Study;,2026-02-18,10.1016/S1474-4422(26)00046-3,41722597.0,2019-06-19,10.1016/S1474-4422(19)30140-1,31229470.0,Correction,Error in Text;Upgrade/Update of Prior Notice(s);,No,EOC stated as resolved 2/18/2026; see https://www.sciencedirect.com/science/article/pii/S1474442226000529
70534,The Gene Expression Analysis of Blood Reveals S100A11 and AQP9 as Potential Biomarkers of Infective Endocarditis,(BLS) Biochemistry;(BLS) Genetics;(HSC) Medicine - Cardiology;,"Département de Cardiologie, Hôpital de la Timone, Aix-Marseille University, Marseille, France; Unité de Recherche sur les Maladies Infectieuses Transmissibles et Emergentes (URMITE), Centre National de la Recherche Scientifique (CNRS) Unité Mixte de Recherche 6236, Aix-Marseille University, Marseille, France;",PLoS One,PLoS,France,Franck Thuny;Julien Textoris;Amira Ben Amara;Adil El Filali;Christian Capo;Didier Raoult;Jean-Louis Mege,https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/;https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-04-21,10.1371/journal.pone.0347627,42013043.0,2012-02-03,10.1371/journal.pone.0031490,22319637.0,Retraction,Author Unresponsive;Concerns/Issues about Human Subject Welfare;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70533,Imbalance of Circulating Monocyte Subsets and PD-1 Dysregulation in Q Fever Endocarditis: The Role of IL-10 in PD-1 Modulation,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Microbiology;,"Aix Marseille Université, Unité de Recherche sur les Maladies Infectieuses Tropicales et Emergentes, UMR 63, CNRS 7278, IRD 198, INSERM U1095, Marseille, France; Inserm UMR 1068, Centre de Recherche en Cancérologie de Marseille, Marseille, France;",PLoS One,PLoS,France,Mignane B Ka;Françoise Gondois-Rey;Christian Capo;Julien Textoris;Mathieu Million;Didier Raoult;Daniel Olive;Jean-Louis Mege,https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-05-04,10.1371/journal.pone.0348534,42081446.0,2014-09-11,10.1371/journal.pone.0107533,25211350.0,Retraction,Concerns/Issues about Human Subject Welfare;Concerns/Issues about Methods;Investigation by Company/Institution;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Upgrade/Update of Prior Notice(s);,No,
70532,Addition of Growth Hormone to the Microflare Stimulation Protocol among Women with Poor Ovarian Response,(HSC) Medicine - Endocrinology;(HSC) Medicine - Obstetrics/Gynecology;,"Department of Obstetrics and Gynecology, Cairo University, Cairo, Egypt;",International Journal of Gynecology & Obstetrics,Wiley,Egypt,Yomna A Bayoumi;Dina M R Dakhly;Yasmin A Bassiouny;Nawara M Hashish,,Clinical Study;,2025-11-14,10.1002/ijgo.70659,41236126.0,2015-08-23,10.1016/j.ijgo.2015.05.034,26381201.0,Expression of concern,Concerns/Issues about Data;Concerns/Issues about Methods;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Data;,No,
70523,Hysteroscopic-guided local endometrial injury does not improve natural cycle pregnancy rate in women with unexplained infertility: Randomized controlled trial,(HSC) Medicine - Obstetrics/Gynecology;(HSC) Medicine - Surgery;,"Department of Obstetrics and Gynecology, Mansoura University Hospital, Mansoura Faculty of Medicine, Mansoura, Egypt;",Journal of Obstetrics and Gynaecology,Wiley,Egypt,Tarek Shokeir;Mohamed Ebrahim;Hosam El-Mogy,,Clinical Study;,2024-09-18,10.1111/jog.16086,39294001.0,2016-07-01,10.1111/jog.13077,27363928.0,Expression of concern,Concerns/Issues about Data;Investigation by Company/Institution;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;,No,see also: https://pubpeer.com/publications/B70932095CBEED83A769B7318D281E
70518,"Safety and efficacy of pre‐incisional peritonsillar lornoxicam in paediatric post‐tonsillectomy pain: a prospective double‐blind, placebo‐controlled, split‐body clinical study",(HSC) Medicine - Anesthesia/Anaesthesia;(HSC) Medicine - Otorhinolaryngology;(HSC) Medicine - Pediatrics;(HSC) Medicine - Pharmacology;,"Anesthesia and Intensive Care Department, Faculty of Medicine,Assiut University, Assiut, Egypt; Clinical Pathology Department, Faculty of Medicine,Assiut University, Assiut, Egypt; Otorhinolaryngology Department, Faculty of Medicine,Assiut University, Assiut, Egypt;",Clinical Otolaryngology,Wiley,Egypt,Hala Saad Abdel‐Ghaffar;Hanan G Abdel‐Azeem;Mohammed M Roushdy,,Clinical Study;,2025-09-21,10.1111/coa.70028,40976849.0,2014-11-17,10.1111/coa.12351,25404551.0,Retraction,Concerns/Issues about Data;Error in Data;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/2C0C1C4774983E2B5E846BCCCC9CED; Hala Saad Abdel‐Ghaffar aka H S Abdel‐Ghaffar; Mohammed M Roushdy aka M M Roushdy;Hanan G Abdel‐Azeem aka Hanan G Abdel‐Azeem;
70513,Randomized Trial of Combined Cabergoline And Coasting in Preventing Ovarian Hyperstimulation Syndrome During in Vitro Fertilization/intracytoplasmic Sperm Injection Cycles,(HSC) Medicine - Obstetrics/Gynecology;(HSC) Medicine - Pharmacology;,"Department of Obstetrics andGynecology, Cairo University, Cairo, Egypt;",International Journal of Gynecology & Obstetrics,Wiley,Egypt,Yasmin Ahmed Bassiouny;Dina M R Dakhly;Yomna A Bayoumi;Noha M Salaheldin;Hisham M Gouda;Ayman A Hassan,,Clinical Study;,2026-05-02,10.1002/ijgo.71061,42068296.0,2017-10-21,10.1002/ijgo.12360,29055130.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Methods;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/91F5FF3518F6FDDC6A593D91165654; Yasmin A Bassiouny aka Yasmin A Bassiouny;
70507,Morphology and properties of composite coating on mild steel: effect of bath temperature and snail shell weight composition,(PHY) Materials Science;,"University of Nigeria, Enugu, Nigeria and UJ, Johannesburg, South Africa; UNN, Nsukka, Nigeria; UJ, Johannesburg, South Africa;",World Journal of Engineering,Emerald,Nigeria;South Africa,Victor Sunday Aigbodion;Enyi C C;Akinlabi E T;Suleiman I Y;Ezema I C;Mgbemene C A,,Research Article;,2025-04-28,10.1108/WJE-04-2025-0210,0.0,2019-05-01,10.1108/WJE-07-2018-0232,0.0,Retraction,Concerns/Issues about Image;Duplication of/in Image;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
70506,Explicit microstructural evolution and electrochemical performance of value added palm kernel shell ash nanoparticle/A356 alloy composite,(PHY) Materials Science;(PHY) Nanotechnology;,"Department of Metallurgical and Materials Engineering, University of Nigeria, Nsukka, FEDERAL REPUBLIC of NIGERIA; Faculty of Engineering and Built Environment, University of Johannesburg, Auckland Park, SOUTH AFRICA;",Materialwissenschaft und Werkstofftechnik (Materials Science and Engineering Technology),Wiley,Nigeria;South Africa,I C Ezema;Victor Sunday Aigbodion,,Research Article;,2025-08-21,10.1002/mawe.70010,0.0,2020-03-17,10.1002/mawe.201900071,0.0,Retraction,Duplication of/in Image;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,No,Victor Sunday Aigbodion aka V S Aigbodion; see also: https://pubpeer.com/publications/01F2498E202ADA283ECBDC89E899AB
